area_m2,number_rooms,bathrooms,condominium fees,condition_encoded,heating_encoded,Energy Efficiency Encoded,grid_cell_encoded,price_euro,total_features
65.0,3.0,1.0,100.0,2,1,8,30,172000.0,104.0
103.0,3.0,2.0,180.0,1,0,6,31,830000.0,185.0
65.0,2.0,1.0,180.0,0,0,8,31,210000.0,183.0
80.0,3.0,1.0,180.0,2,0,9,30,115600.0,184.0
80.0,1.0,1.0,180.0,2,0,8,30,65280.0,182.0
80.0,2.0,1.0,180.0,2,0,8,31,99280.0,183.0
81.0,3.0,1.0,180.0,0,1,8,30,395000.0,184.0
119.0,3.0,2.0,180.0,0,1,8,30,675000.0,185.0
110.0,4.0,2.0,233.0,2,0,6,31,270000.0,239.0
83.0,3.0,1.0,180.0,2,0,9,31,880000.0,184.0
125.0,3.0,2.0,180.0,1,1,8,30,875000.0,185.0
70.0,2.0,1.0,180.0,0,1,8,31,305000.0,183.0
78.0,3.0,1.0,180.0,2,0,9,30,91627.0,184.0
90.0,3.0,1.0,180.0,0,0,9,30,743000.0,184.0
80.0,3.0,3.0,180.0,0,0,9,31,363000.0,186.0
80.0,4.0,2.0,180.0,0,0,9,31,363000.0,186.0
80.0,2.0,2.0,180.0,0,0,9,30,754000.0,184.0
70.0,2.0,1.0,180.0,2,0,9,31,65520.0,183.0
80.0,3.0,1.0,180.0,1,0,9,31,645000.0,184.0
80.0,3.0,1.0,180.0,2,0,9,31,91627.0,184.0
45.0,2.0,1.0,100.0,0,1,8,30,134000.0,103.0
